repository_owner,repository_name,file_path,filename,original_file_path,repository_url,file_url,branch,stargazers_count,forks_count,created_at,pushed_at,updated_at,lines_of_code,manifest_specific_commit_count,first_manifest_commit_date,file_composite_key,length_of_words,complexity_score
lgallard,terraform-aws-secrets-manager,CLAUDE.md,CLAUDE.md,raw/lgallard/terraform-aws-secrets-manager/CLAUDE.md,https://github.com/lgallard/terraform-aws-secrets-manager,https://github.com/lgallard/terraform-aws-secrets-manager/blob/master/CLAUDE.md,master,65.0,49.0,2020-06-25T18:38:51Z,2025-10-07T15:33:42Z,2025-08-31T22:36:32Z,930.0,10,2025-07-18T21:08:34Z,lgallard||terraform-aws-secrets-manager||CLAUDE.md,1712,18.989594286269124
lgallard,terraform-aws-cognito-user-pool,CLAUDE.md,CLAUDE.md,raw/lgallard/terraform-aws-cognito-user-pool/CLAUDE.md,https://github.com/lgallard/terraform-aws-cognito-user-pool,https://github.com/lgallard/terraform-aws-cognito-user-pool/blob/master/CLAUDE.md,master,100.0,106.0,2019-10-30T20:54:17Z,2025-10-14T21:43:50Z,2025-10-14T21:34:17Z,327.0,4,2025-07-18T16:21:27Z,lgallard||terraform-aws-cognito-user-pool||CLAUDE.md,876,14.20370099271176
lgallard,terraform-aws-backup,CLAUDE.md,CLAUDE.md,raw/lgallard/terraform-aws-backup/CLAUDE.md,https://github.com/lgallard/terraform-aws-backup,https://github.com/lgallard/terraform-aws-backup/blob/master/CLAUDE.md,master,152.0,63.0,2019-10-17T04:51:21Z,2025-10-18T09:25:22Z,2025-09-16T10:40:58Z,405.0,6,2025-07-18T10:06:48Z,lgallard||terraform-aws-backup||CLAUDE.md,787,8.229080853453155
lgallard,terraform-aws-ecr,CLAUDE.md,CLAUDE.md,raw/lgallard/terraform-aws-ecr/CLAUDE.md,https://github.com/lgallard/terraform-aws-ecr,https://github.com/lgallard/terraform-aws-ecr/blob/master/CLAUDE.md,master,11.0,20.0,2020-04-30T19:59:34Z,2025-10-12T00:28:51Z,2025-10-12T00:28:54Z,485.0,2,2025-07-18T20:08:54Z,lgallard||terraform-aws-ecr||CLAUDE.md,760,8.304548578632762
langfuse,langfuse,CLAUDE.md,CLAUDE.md,raw/langfuse/langfuse/CLAUDE.md,https://github.com/langfuse/langfuse,https://github.com/langfuse/langfuse/blob/main/CLAUDE.md,main,17207.0,1635.0,2023-05-18T17:47:09Z,2025-10-17T22:09:40Z,2025-10-18T16:45:36Z,200.0,10,2025-06-22T21:51:41Z,langfuse||langfuse||CLAUDE.md,756,48.95403634729908
langfuse,langfuse-docs,CLAUDE.md,CLAUDE.md,raw/langfuse/langfuse-docs/CLAUDE.md,https://github.com/langfuse/langfuse-docs,https://github.com/langfuse/langfuse-docs/blob/main/CLAUDE.md,main,143.0,145.0,2023-05-22T14:48:56Z,2025-10-17T23:14:39Z,2025-10-17T23:14:43Z,87.0,3,2025-07-03T09:40:49Z,langfuse||langfuse-docs||CLAUDE.md,412,30.895054922279797
langfuse,langfuse-python,CLAUDE.md,CLAUDE.md,raw/langfuse/langfuse-python/CLAUDE.md,https://github.com/langfuse/langfuse-python,https://github.com/langfuse/langfuse-python/blob/main/CLAUDE.md,main,280.0,197.0,2023-07-17T10:56:29Z,2025-10-17T14:32:51Z,2025-10-17T14:05:29Z,133.0,1,2025-07-22T19:16:44Z,langfuse||langfuse-python||CLAUDE.md,416,37.894000000000034
njfio,fluent_cli,CLAUDE.md,CLAUDE.md,raw/njfio/fluent_cli/CLAUDE.md,https://github.com/njfio/fluent_cli,https://github.com/njfio/fluent_cli/blob/main/CLAUDE.md,main,23.0,4.0,2024-04-16T19:20:14Z,2025-10-02T15:21:02Z,2025-10-02T15:21:09Z,197.0,2,2025-09-27T17:03:15Z,njfio||fluent_cli||CLAUDE.md,724,26.313680555555578
MystenLabs,ts-sdks,CLAUDE.md,CLAUDE.md,raw/MystenLabs/ts-sdks/CLAUDE.md,https://github.com/MystenLabs/ts-sdks,https://github.com/MystenLabs/ts-sdks/blob/main/CLAUDE.md,main,76.0,59.0,2024-12-19T17:53:48Z,2025-10-18T14:14:45Z,2025-10-18T00:27:46Z,97.0,2,2025-08-06T16:11:59Z,MystenLabs||ts-sdks||CLAUDE.md,254,37.76743512511587
TerraConstructs,base,CLAUDE.md,CLAUDE.md,raw/TerraConstructs/base/CLAUDE.md,https://github.com/TerraConstructs/base,https://github.com/TerraConstructs/base/blob/main/CLAUDE.md,main,38.0,4.0,2024-07-24T13:52:53Z,2025-10-18T01:06:14Z,2025-10-09T11:49:12Z,160.0,2,2025-06-19T09:14:28Z,TerraConstructs||base||CLAUDE.md,628,41.77024064171127
ably,ably-chat-js,CLAUDE.md,CLAUDE.md,raw/ably/ably-chat-js/CLAUDE.md,https://github.com/ably/ably-chat-js,https://github.com/ably/ably-chat-js/blob/main/CLAUDE.md,main,20.0,3.0,2023-11-14T10:30:39Z,2025-10-16T21:34:03Z,2025-10-16T15:44:33Z,142.0,2,2025-10-09T13:38:47Z,ably||ably-chat-js||CLAUDE.md,710,52.0820788521288
aldrin-labs,opensvm,CLAUDE.md,CLAUDE.md,raw/aldrin-labs/opensvm/CLAUDE.md,https://github.com/aldrin-labs/opensvm,https://github.com/aldrin-labs/opensvm/blob/main/CLAUDE.md,main,18.0,6.0,2024-11-11T21:15:58Z,2025-10-18T17:02:39Z,2025-10-18T17:02:43Z,601.0,3,2025-09-26T15:02:58Z,aldrin-labs||opensvm||CLAUDE.md,3214,28.50181419546638
TulevaEE,onboarding-service,CLAUDE.md,CLAUDE.md,raw/TulevaEE/onboarding-service/CLAUDE.md,https://github.com/TulevaEE/onboarding-service,https://github.com/TulevaEE/onboarding-service/blob/master/CLAUDE.md,master,28.0,8.0,2017-01-02T12:45:53Z,2025-10-16T12:43:32Z,2025-10-18T07:19:17Z,5.0,2,2025-09-29T08:47:18Z,TulevaEE||onboarding-service||CLAUDE.md,33,48.244022988505776
miurla,morphic,CLAUDE.md,CLAUDE.md,raw/miurla/morphic/CLAUDE.md,https://github.com/miurla/morphic,https://github.com/miurla/morphic/blob/main/CLAUDE.md,main,8271.0,2263.0,2024-04-05T13:55:29Z,2025-10-15T11:19:09Z,2025-10-18T14:57:38Z,129.0,4,2025-07-22T01:58:34Z,miurla||morphic||CLAUDE.md,625,47.708593645665076
jdereg,json-io,CLAUDE.md,CLAUDE.md,raw/jdereg/json-io/CLAUDE.md,https://github.com/jdereg/json-io,https://github.com/jdereg/json-io/blob/master/CLAUDE.md,master,342.0,115.0,2013-09-04T15:44:02Z,2025-09-08T07:59:18Z,2025-10-01T15:09:07Z,541.0,7,2025-06-26T19:14:28Z,jdereg||json-io||CLAUDE.md,2733,44.10125419851272
isucon,isucon9-qualify,CLAUDE.md,CLAUDE.md,raw/isucon/isucon9-qualify/CLAUDE.md,https://github.com/isucon/isucon9-qualify,https://github.com/isucon/isucon9-qualify/blob/master/CLAUDE.md,master,241.0,188.0,2019-07-06T10:14:51Z,2025-10-18T06:56:40Z,2025-10-18T06:56:43Z,89.0,1,2025-07-19T04:35:53Z,isucon||isucon9-qualify||CLAUDE.md,298,29.50000000000003
sbalci,jjstatsplot,CLAUDE.md,CLAUDE.md,raw/sbalci/jjstatsplot/CLAUDE.md,https://github.com/sbalci/jjstatsplot,https://github.com/sbalci/jjstatsplot/blob/master/CLAUDE.md,master,11.0,5.0,2020-06-03T14:59:45Z,2025-10-09T16:45:39Z,2025-10-09T16:45:44Z,210.0,4,2025-06-08T08:33:51Z,sbalci||jjstatsplot||CLAUDE.md,704,34.32635926573428
sbalci,ClinicoPathJamoviModule,CLAUDE.md,CLAUDE.md,raw/sbalci/ClinicoPathJamoviModule/CLAUDE.md,https://github.com/sbalci/ClinicoPathJamoviModule,https://github.com/sbalci/ClinicoPathJamoviModule/blob/master/CLAUDE.md,master,20.0,4.0,2019-11-26T09:38:33Z,2025-10-09T18:03:26Z,2025-10-09T18:03:30Z,235.0,32,2025-06-08T08:29:32Z,sbalci||ClinicoPathJamoviModule||CLAUDE.md,1169,27.690225781845953
promptfoo,promptfoo,CLAUDE.md,CLAUDE.md,raw/promptfoo/promptfoo/CLAUDE.md,https://github.com/promptfoo/promptfoo,https://github.com/promptfoo/promptfoo/blob/main/CLAUDE.md,main,8747.0,735.0,2023-04-28T15:48:49Z,2025-10-18T16:16:21Z,2025-10-18T08:54:11Z,363.0,17,2025-04-27T15:17:20Z,promptfoo||promptfoo||CLAUDE.md,1520,49.78459579180512
myuon,gallon,CLAUDE.md,CLAUDE.md,raw/myuon/gallon/CLAUDE.md,https://github.com/myuon/gallon,https://github.com/myuon/gallon/blob/main/CLAUDE.md,main,6.0,1.0,2023-01-30T19:29:38Z,2025-06-18T16:00:40Z,2025-08-14T02:03:26Z,70.0,1,2025-05-31T11:17:03Z,myuon||gallon||CLAUDE.md,385,42.70008771929827
ajanraj,OpenChat,CLAUDE.md,CLAUDE.md,raw/ajanraj/OpenChat/CLAUDE.md,https://github.com/ajanraj/OpenChat,https://github.com/ajanraj/OpenChat/blob/main/CLAUDE.md,main,102.0,21.0,2025-03-30T14:34:28Z,2025-10-16T13:41:18Z,2025-10-16T22:23:51Z,658.0,9,2025-07-10T17:48:10Z,ajanraj||OpenChat||CLAUDE.md,5212,56.08095101676858
killerapp,continuous-image-gen,CLAUDE.md,CLAUDE.md,raw/killerapp/continuous-image-gen/CLAUDE.md,https://github.com/killerapp/continuous-image-gen,https://github.com/killerapp/continuous-image-gen/blob/main/CLAUDE.md,main,7.0,1.0,2025-02-01T02:23:45Z,2025-10-05T07:44:18Z,2025-09-01T15:20:23Z,99.0,3,2025-08-10T12:44:38Z,killerapp||continuous-image-gen||CLAUDE.md,334,34.93146341463415
quokka-astro,quokka,CLAUDE.md,CLAUDE.md,raw/quokka-astro/quokka/CLAUDE.md,https://github.com/quokka-astro/quokka,https://github.com/quokka-astro/quokka/blob/master/CLAUDE.md,development,59.0,19.0,2020-02-07T03:26:54Z,2025-10-18T09:16:45Z,2025-10-16T01:29:39Z,59.0,4,2025-02-27T00:51:08Z,quokka-astro||quokka||CLAUDE.md,486,48.210850496319836
jonobr1,two.js,CLAUDE.md,CLAUDE.md,raw/jonobr1/two.js/CLAUDE.md,https://github.com/jonobr1/two.js,https://github.com/jonobr1/two.js/blob/main/CLAUDE.md,main,8538.0,461.0,2012-09-05T23:19:40Z,2025-10-03T21:59:32Z,2025-10-17T14:46:14Z,180.0,3,2025-07-10T01:38:55Z,jonobr1||two.js||CLAUDE.md,998,45.277397849462375
pdm-project,pdm,CLAUDE.md,CLAUDE.md,raw/pdm-project/pdm/CLAUDE.md,https://github.com/pdm-project/pdm,https://github.com/pdm-project/pdm/blob/main/CLAUDE.md,main,8480.0,452.0,2019-12-27T03:50:57Z,2025-10-11T01:45:44Z,2025-10-16T12:07:02Z,1.0,1,2025-08-20T04:46:14Z,pdm-project||pdm||CLAUDE.md,2,
rainbow-me,browser-extension,CLAUDE.md,CLAUDE.md,raw/rainbow-me/browser-extension/CLAUDE.md,https://github.com/rainbow-me/browser-extension,https://github.com/rainbow-me/browser-extension/blob/master/CLAUDE.md,master,187.0,64.0,2022-09-29T02:55:33Z,2025-10-17T04:17:53Z,2025-10-17T15:31:41Z,123.0,2,2025-07-13T04:14:28Z,rainbow-me||browser-extension||CLAUDE.md,482,42.06264705882356
truenas,webui,CLAUDE.md,CLAUDE.md,raw/truenas/webui/CLAUDE.md,https://github.com/truenas/webui,https://github.com/truenas/webui/blob/master/CLAUDE.md,master,464.0,345.0,2017-05-02T14:42:01Z,2025-10-18T08:10:35Z,2025-10-17T15:47:47Z,151.0,12,2025-04-04T11:24:37Z,truenas||webui||CLAUDE.md,833,50.91917525773198
o-ga09,MH-API,CLAUDE.md,CLAUDE.md,raw/o-ga09/MH-API/CLAUDE.md,https://github.com/o-ga09/MH-API,https://github.com/o-ga09/MH-API/blob/main/CLAUDE.md,main,6.0,0.0,2023-05-21T10:26:15Z,2025-10-13T04:13:21Z,2025-05-31T03:03:16Z,517.0,1,2025-05-26T13:48:45Z,o-ga09||MH-API||CLAUDE.md,61,73.48309523809526
colinhacks,zod,CLAUDE.md,CLAUDE.md,raw/colinhacks/zod/CLAUDE.md,https://github.com/colinhacks/zod,https://github.com/colinhacks/zod/blob/main/CLAUDE.md,main,40395.0,1640.0,2020-03-07T20:59:08Z,2025-10-17T22:15:08Z,2025-10-18T16:41:36Z,109.0,1,2025-08-23T06:45:27Z,colinhacks||zod||CLAUDE.md,505,45.06348228715498
basher83,ProxmoxMCP,CLAUDE.md,CLAUDE.md,raw/basher83/ProxmoxMCP/CLAUDE.md,https://github.com/basher83/ProxmoxMCP,https://github.com/basher83/ProxmoxMCP/blob/main/CLAUDE.md,main,10.0,2.0,2025-05-11T03:19:01Z,2025-10-15T19:43:44Z,2025-10-15T19:43:47Z,949.0,23,2025-05-24T06:30:51Z,basher83||ProxmoxMCP||CLAUDE.md,1587,4.127164837786324
elixir-lsp,vscode-elixir-ls,CLAUDE.md,CLAUDE.md,raw/elixir-lsp/vscode-elixir-ls/CLAUDE.md,https://github.com/elixir-lsp/vscode-elixir-ls,https://github.com/elixir-lsp/vscode-elixir-ls/blob/master/CLAUDE.md,master,580.0,107.0,2019-01-16T10:10:46Z,2025-09-08T23:04:04Z,2025-10-08T15:59:29Z,113.0,1,2025-06-26T21:25:58Z,elixir-lsp||vscode-elixir-ls||CLAUDE.md,274,35.03437606112058
chipturner,pxhist,CLAUDE.md,CLAUDE.md,raw/chipturner/pxhist/CLAUDE.md,https://github.com/chipturner/pxhist,https://github.com/chipturner/pxhist/blob/main/CLAUDE.md,main,24.0,0.0,2022-05-18T23:58:08Z,2025-10-06T17:57:07Z,2025-09-29T03:26:44Z,100.0,2,2025-02-25T04:39:06Z,chipturner||pxhist||CLAUDE.md,636,48.47738163558108
MagnivOrg,prompt-layer-docs,CLAUDE.md,CLAUDE.md,raw/MagnivOrg/prompt-layer-docs/CLAUDE.md,https://github.com/MagnivOrg/prompt-layer-docs,https://github.com/MagnivOrg/prompt-layer-docs/blob/main/CLAUDE.md,master,6.0,3.0,2023-06-28T13:58:19Z,2025-10-17T21:36:41Z,2025-10-17T21:36:44Z,150.0,1,2025-09-16T02:12:29Z,MagnivOrg||prompt-layer-docs||CLAUDE.md,663,40.044027347781224
actnwit,RhodoniteTS,CLAUDE.md,CLAUDE.md,raw/actnwit/RhodoniteTS/CLAUDE.md,https://github.com/actnwit/RhodoniteTS,https://github.com/actnwit/RhodoniteTS/blob/main/CLAUDE.md,main,158.0,8.0,2018-10-31T12:03:40Z,2025-06-28T12:03:17Z,2025-10-11T15:55:27Z,165.0,3,2025-06-06T14:46:03Z,actnwit||RhodoniteTS||CLAUDE.md,566,26.330000000000013
Pedal-Intelligence,saypi-userscript,CLAUDE.md,CLAUDE.md,raw/Pedal-Intelligence/saypi-userscript/CLAUDE.md,https://github.com/Pedal-Intelligence/saypi-userscript,https://github.com/Pedal-Intelligence/saypi-userscript/blob/main/CLAUDE.md,main,19.0,5.0,2023-07-21T07:53:43Z,2025-10-18T10:00:41Z,2025-10-07T16:07:54Z,124.0,6,2025-06-07T14:15:39Z,Pedal-Intelligence||saypi-userscript||CLAUDE.md,1155,43.928342627521744
OpenCut-app,OpenCut,CLAUDE.md,CLAUDE.md,raw/OpenCut-app/OpenCut/CLAUDE.md,https://github.com/OpenCut-app/OpenCut,https://github.com/OpenCut-app/OpenCut/blob/main/CLAUDE.md,main,42249.0,3981.0,2025-06-22T08:02:17Z,2025-09-30T01:42:01Z,2025-10-18T17:02:27Z,168.0,1,2025-08-22T19:08:43Z,OpenCut-app||OpenCut||CLAUDE.md,522,31.896419285831826
Uniswap,interface,CLAUDE.md,CLAUDE.md,raw/Uniswap/interface/CLAUDE.md,https://github.com/Uniswap/interface,https://github.com/Uniswap/interface/blob/main/CLAUDE.md,main,5382.0,5378.0,2017-10-29T05:09:58Z,2025-10-15T17:43:05Z,2025-10-18T12:04:08Z,144.0,8,2025-08-06T17:46:33Z,Uniswap||interface||CLAUDE.md,657,43.929608695652206
onion-lang,onion,CLAUDE.md,CLAUDE.md,raw/onion-lang/onion/CLAUDE.md,https://github.com/onion-lang/onion,https://github.com/onion-lang/onion/blob/main/CLAUDE.md,main,28.0,4.0,2010-04-11T23:55:14Z,2025-05-26T14:39:40Z,2025-08-18T12:27:09Z,49.0,1,2025-05-21T12:11:18Z,onion-lang||onion||CLAUDE.md,261,52.29692789968655
sam-goodwin,alchemy,CLAUDE.md,CLAUDE.md,raw/sam-goodwin/alchemy/CLAUDE.md,https://github.com/sam-goodwin/alchemy,https://github.com/sam-goodwin/alchemy/blob/main/CLAUDE.md,main,1418.0,80.0,2025-01-17T02:06:40Z,2025-10-18T05:00:05Z,2025-10-18T12:54:07Z,901.0,10,2025-06-07T07:11:37Z,sam-goodwin||alchemy||CLAUDE.md,2,
OSU-NLP-Group,saev,CLAUDE.md,CLAUDE.md,raw/OSU-NLP-Group/saev/CLAUDE.md,https://github.com/OSU-NLP-Group/saev,https://github.com/OSU-NLP-Group/saev/blob/main/CLAUDE.md,main,47.0,6.0,2024-10-18T15:35:42Z,2025-10-17T21:25:16Z,2025-10-17T21:25:20Z,1.0,1,2025-07-21T18:06:59Z,OSU-NLP-Group||saev||CLAUDE.md,2,
codante-io,codante-io-api,CLAUDE.md,CLAUDE.md,raw/codante-io/codante-io-api/CLAUDE.md,https://github.com/codante-io/codante-io-api,https://github.com/codante-io/codante-io-api/blob/main/CLAUDE.md,main,5.0,0.0,2023-03-16T18:45:34Z,2025-10-18T11:07:08Z,2025-10-18T11:07:11Z,118.0,1,2025-07-13T00:42:37Z,codante-io||codante-io-api||CLAUDE.md,527,23.565219256063045
codante-io,codante-io-front,CLAUDE.md,CLAUDE.md,raw/codante-io/codante-io-front/CLAUDE.md,https://github.com/codante-io/codante-io-front,https://github.com/codante-io/codante-io-front/blob/main/CLAUDE.md,main,12.0,8.0,2023-03-24T19:29:11Z,2025-10-18T11:35:15Z,2025-10-18T11:35:18Z,147.0,2,2025-07-30T11:19:07Z,codante-io||codante-io-front||CLAUDE.md,504,35.59336407684461
nabinno,dotfiles,CLAUDE.md,CLAUDE.md,raw/nabinno/dotfiles/CLAUDE.md,https://github.com/nabinno/dotfiles,https://github.com/nabinno/dotfiles/blob/master/CLAUDE.md,master,5.0,1.0,2014-08-07T03:36:46Z,2025-08-09T05:34:35Z,2025-08-09T05:34:38Z,124.0,2,2025-06-07T08:04:15Z,nabinno||dotfiles||CLAUDE.md,339,22.31350437183619
PrefectHQ,prefect-cloud,CLAUDE.md,CLAUDE.md,raw/PrefectHQ/prefect-cloud/CLAUDE.md,https://github.com/PrefectHQ/prefect-cloud,https://github.com/PrefectHQ/prefect-cloud/blob/main/CLAUDE.md,main,10.0,2.0,2025-01-29T18:29:22Z,2025-10-08T19:18:45Z,2025-10-08T19:15:54Z,33.0,1,2025-09-09T20:52:48Z,PrefectHQ||prefect-cloud||CLAUDE.md,170,41.05099522835724
PrefectHQ,marvin,CLAUDE.md,CLAUDE.md,raw/PrefectHQ/marvin/CLAUDE.md,https://github.com/PrefectHQ/marvin,https://github.com/PrefectHQ/marvin/blob/main/CLAUDE.md,main,5968.0,385.0,2023-03-10T18:44:40Z,2025-10-16T17:33:02Z,2025-10-17T21:40:37Z,48.0,3,2025-06-07T17:17:11Z,PrefectHQ||marvin||CLAUDE.md,271,49.289270207285654
PrefectHQ,prefect-operator,CLAUDE.md,CLAUDE.md,raw/PrefectHQ/prefect-operator/CLAUDE.md,https://github.com/PrefectHQ/prefect-operator,https://github.com/PrefectHQ/prefect-operator/blob/main/CLAUDE.md,main,14.0,4.0,2024-08-01T19:21:19Z,2025-10-14T18:33:43Z,2025-10-14T18:28:05Z,1.0,1,2025-06-11T13:41:35Z,PrefectHQ||prefect-operator||CLAUDE.md,2,
anthropics,claude-code-action,CLAUDE.md,CLAUDE.md,raw/anthropics/claude-code-action/CLAUDE.md,https://github.com/anthropics/claude-code-action,https://github.com/anthropics/claude-code-action/blob/main/CLAUDE.md,main,3727.0,1182.0,2025-05-19T15:26:50Z,2025-10-17T22:29:53Z,2025-10-18T00:22:18Z,136.0,4,2025-05-19T15:32:32Z,anthropics||claude-code-action||CLAUDE.md,542,41.48452255594114
clafollett,agenterra,CLAUDE.md,CLAUDE.md,raw/clafollett/agenterra/CLAUDE.md,https://github.com/clafollett/agenterra,https://github.com/clafollett/agenterra/blob/main/CLAUDE.md,main,51.0,5.0,2025-05-30T00:24:41Z,2025-09-25T01:00:09Z,2025-10-08T10:23:13Z,10.0,14,2025-06-09T17:31:45Z,clafollett||agenterra||CLAUDE.md,61,30.176885245901673
panther-labs,mcp-panther,CLAUDE.md,CLAUDE.md,raw/panther-labs/mcp-panther/CLAUDE.md,https://github.com/panther-labs/mcp-panther,https://github.com/panther-labs/mcp-panther/blob/main/CLAUDE.md,main,32.0,14.0,2025-03-28T22:23:48Z,2025-10-06T22:02:19Z,2025-10-15T23:40:40Z,60.0,5,2025-07-03T22:05:14Z,panther-labs||mcp-panther||CLAUDE.md,308,36.83100000000002
vanillapdf,vanillapdf,CLAUDE.md,CLAUDE.md,raw/vanillapdf/vanillapdf/CLAUDE.md,https://github.com/vanillapdf/vanillapdf,https://github.com/vanillapdf/vanillapdf/blob/main/CLAUDE.md,main,10.0,0.0,2022-12-04T13:44:25Z,2025-10-13T18:59:17Z,2025-10-13T18:59:20Z,630.0,6,2025-09-15T08:59:33Z,vanillapdf||vanillapdf||CLAUDE.md,2823,34.951571953947905
lostleaf,binance_datatool,CLAUDE.md,CLAUDE.md,raw/lostleaf/binance_datatool/CLAUDE.md,https://github.com/lostleaf/binance_datatool,https://github.com/lostleaf/binance_datatool/blob/main/CLAUDE.md,main,118.0,31.0,2023-03-30T04:29:29Z,2025-10-16T08:07:20Z,2025-10-14T14:57:34Z,35.0,30,2025-08-07T09:24:23Z,lostleaf||binance_datatool||CLAUDE.md,154,65.68281718281722
shm11C3,HardwareVisualizer,CLAUDE.md,CLAUDE.md,raw/shm11C3/HardwareVisualizer/CLAUDE.md,https://github.com/shm11C3/HardwareVisualizer,https://github.com/shm11C3/HardwareVisualizer/blob/master/CLAUDE.md,master,17.0,1.0,2024-06-02T10:11:08Z,2025-10-18T17:05:54Z,2025-10-18T16:46:37Z,247.0,5,2025-07-27T07:03:09Z,shm11C3||HardwareVisualizer||CLAUDE.md,619,25.783514218009458
malgo-lang,malgo,CLAUDE.md,CLAUDE.md,raw/malgo-lang/malgo/CLAUDE.md,https://github.com/malgo-lang/malgo,https://github.com/malgo-lang/malgo/blob/master/CLAUDE.md,master,45.0,0.0,2017-04-16T07:32:44Z,2025-10-15T10:50:15Z,2025-10-01T03:59:23Z,165.0,2,2025-07-01T00:21:54Z,malgo-lang||malgo||CLAUDE.md,402,36.92539227895392
